give me the cities in m0	answer ( intersection ( city , loc_2 ( m0 ) ) )
what are the high points of states surrounding m0	answer ( high_point_1 ( intersection ( state , next_to_2 ( m0 ) ) ) )
name the rivers in m0	answer ( intersection ( river , loc_2 ( m0 ) ) )
can you tell me the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
could you tell me what is the highest point in the state of m0	answer ( highest ( intersection ( place , loc_2 ( intersection ( state , m0 ) ) ) ) )
give me all the states of m0	answer ( intersection ( state , loc_2 ( m0 ) ) )
give me the cities in m0	answer ( intersection ( city , loc_2 ( m0 ) ) )
give me the cities in m0	answer ( intersection ( city , loc_2 ( m0 ) ) )
give me the cities in m0	answer ( intersection ( city , loc_2 ( m0 ) ) )
give me the cities which are in m0	answer ( intersection ( city , loc_2 ( m0 ) ) )
give me the lakes in m0	answer ( intersection ( lake , loc_2 ( m0 ) ) )
give me the largest state	answer ( largest ( state ) )
give me the longest river that passes through the m0	answer ( longest ( intersection ( river , traverse_2 ( m0 ) ) ) )
how big is m0	answer ( size ( m0 ) )
how big is m0	answer ( size ( m0 ) )
how big is m0	answer ( size ( m0 ) )
how big is m0	answer ( size ( m0 ) )
how big is m0	answer ( size ( m0 ) )
how big is the city of m0	answer ( size ( intersection ( city , m0 ) ) )
how high are the highest points of all the states	answer ( elevation_1 ( highest ( intersection ( place , loc_2 ( state ) ) ) ) )
how high is m0	answer ( elevation_1 ( m0 ) )
how high is the highest point in m0	answer ( elevation_1 ( highest ( intersection ( place , loc_2 ( m0 ) ) ) ) )
how high is the highest point in the largest state	answer ( elevation_1 ( highest ( intersection ( place , loc_2 ( largest ( state ) ) ) ) ) )
how high is the highest point of m0	answer ( elevation_1 ( highest ( intersection ( place , loc_2 ( m0 ) ) ) ) )
how high is the highest point of m0	answer ( elevation_1 ( highest ( intersection ( place , loc_2 ( m0 ) ) ) ) )
how high is the highest point of m0	answer ( elevation_1 ( highest ( intersection ( place , loc_2 ( m0 ) ) ) ) )
how large is the largest city in m0	answer ( size ( largest ( intersection ( city , loc_2 ( m0 ) ) ) ) )
how long is m0	answer ( len ( m0 ) )
how long is the m0	answer ( len ( m0 ) )
how long is the m0 river	answer ( len ( intersection ( river , m0 ) ) )
how long is the m0 river in miles	answer ( len ( intersection ( river , m0 ) ) )
how long is the m0 river	answer ( len ( intersection ( river , m0 ) ) )
how long is the m0 river	answer ( len ( intersection ( river , m0 ) ) )
how long is the shortest river in the m0	answer ( len ( shortest ( intersection ( river , loc_2 ( m0 ) ) ) ) )
how many big cities are in m0	answer ( count ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) ) )
how many cities are in m0	answer ( count ( intersection ( city , loc_2 ( m0 ) ) ) )
how many cities are in m0	answer ( count ( intersection ( city , loc_2 ( m0 ) ) ) )
how many cities are there in the m0	answer ( count ( intersection ( city , loc_2 ( m0 ) ) ) )
how many cities are there in m0	answer ( count ( intersection ( city , loc_2 ( m0 ) ) ) )
how many cities are there in m0	answer ( count ( intersection ( city , loc_2 ( m0 ) ) ) )
how many cities does m0 have	answer ( count ( intersection ( city , loc_2 ( m0 ) ) ) )
how many cities does the m0 have	answer ( count ( intersection ( city , loc_2 ( m0 ) ) ) )
how many cities named m0 are there in the m1	answer ( count ( intersection ( intersection ( city , m0 ) , loc_2 ( m1 ) ) ) )
how many citizens in m0	answer ( population_1 ( m0 ) )
how many citizens in m0	answer ( population_1 ( m0 ) )
how many citizens live in m0	answer ( population_1 ( m0 ) )
how many inhabitants does m0 have	answer ( population_1 ( m0 ) )
how many major cities are in m0	answer ( count ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) ) )
how many major cities are in m0	answer ( count ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) ) )
how many major cities are in states bordering m0	answer ( count ( intersection ( major , intersection ( city , loc_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) ) ) )
how many major cities are in states bordering m0	answer ( count ( intersection ( major , intersection ( city , loc_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) ) ) )
how many major cities are in m0	answer ( count ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) ) )
how many major cities are there	answer ( count ( intersection ( major , city ) ) )
how many major cities are there in m0	answer ( count ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) ) )
how many major rivers cross m0	answer ( count ( intersection ( major , intersection ( river , traverse_2 ( m0 ) ) ) ) )
how many people are in the state of m0	answer ( population_1 ( intersection ( state , m0 ) ) )
how many people are there in m0	answer ( population_1 ( m0 ) )
how many people are there in m0	answer ( population_1 ( m0 ) )
how many people in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in the capital of m0	answer ( population_1 ( intersection ( capital , loc_2 ( m0 ) ) ) )
how many people live in the smallest state bordering m0	answer ( population_1 ( smallest ( intersection ( state , next_to_2 ( m0 ) ) ) ) )
how many people live in the state with the largest population density	answer ( population_1 ( largest_one ( density_1 , state ) ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people live in m0	answer ( population_1 ( m0 ) )
how many people stay in m0	answer ( population_1 ( m0 ) )
how many rivers are called m0	answer ( count ( intersection ( river , m0 ) ) )
how many rivers are found in m0	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers are in m0	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers are in m0	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers are in m0	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers are in the state with the highest point	answer ( count ( intersection ( river , loc_2 ( intersection ( state , loc_1 ( highest ( place ) ) ) ) ) ) )
how many rivers are in the state with the largest population	answer ( count ( intersection ( river , loc_2 ( largest_one ( population_1 , state ) ) ) ) )
how many rivers are there in m0	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers are there in m0	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers are there in m0	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers do not traverse the state with the capital m0	answer ( count ( exclude ( river , traverse_2 ( intersection ( state , loc_1 ( intersection ( capital , m0 ) ) ) ) ) ) )
how many rivers does m0 have	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers in m0 are longer than the m1	answer ( count ( intersection ( intersection ( river , loc_2 ( m0 ) ) , longer ( m1 ) ) ) )
how many rivers in m0	answer ( count ( intersection ( river , loc_2 ( m0 ) ) ) )
how many rivers run through m0	answer ( count ( intersection ( river , traverse_2 ( m0 ) ) ) )
how many rivers run through the states bordering m0	answer ( count ( intersection ( river , traverse_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) ) )
how many square kilometers in the m0	answer ( area_1 ( m0 ) )
how many states are in the m0	answer ( count ( intersection ( state , loc_2 ( m0 ) ) ) )
how many states are next to major rivers	answer ( count ( intersection ( state , next_to_2 ( intersection ( major , river ) ) ) ) )
how many states are there in m0	answer ( count ( intersection ( state , loc_2 ( m0 ) ) ) )
how many states border m0	answer ( count ( intersection ( state , next_to_2 ( m0 ) ) ) )
how many states border at least one other state	answer ( count ( intersection ( state , next_to_2 ( state ) ) ) )
how many states border m1 and border m0	answer ( count ( intersection ( state , intersection ( next_to_2 ( m1 ) , next_to_2 ( m0 ) ) ) ) )
how many states border m0	answer ( count ( intersection ( state , next_to_2 ( m0 ) ) ) )
how many states border on the state whose capital is m0	answer ( count ( intersection ( state , next_to_2 ( intersection ( state , loc_1 ( intersection ( capital , m0 ) ) ) ) ) ) )
how many states border m0	answer ( count ( intersection ( state , next_to_2 ( m0 ) ) ) )
how many states border m0	answer ( count ( intersection ( state , next_to_2 ( m0 ) ) ) )
how many states border the largest state	answer ( count ( intersection ( state , next_to_2 ( largest ( state ) ) ) ) )
how many states border the m0 river	answer ( count ( intersection ( state , next_to_2 ( intersection ( river , m0 ) ) ) ) )
how many states border the state that borders the most states	answer ( count ( intersection ( state , next_to_2 ( most ( state , next_to_2 , state ) ) ) ) )
how many states does m0 border	answer ( count ( intersection ( state , next_to_1 ( m0 ) ) ) )
how many states does m0 border	answer ( count ( intersection ( state , next_to_1 ( m0 ) ) ) )
how many states does the m0 river flow through	answer ( count ( intersection ( state , traverse_1 ( intersection ( river , m0 ) ) ) ) )
how many states does the m0 river run through	answer ( count ( intersection ( state , traverse_1 ( intersection ( river , m0 ) ) ) ) )
how many states does the m0 river run through	answer ( count ( intersection ( state , traverse_1 ( intersection ( river , m0 ) ) ) ) )
how many states does the m0 run through	answer ( count ( intersection ( state , traverse_1 ( m0 ) ) ) )
how many states does the m0 river run through	answer ( count ( intersection ( state , traverse_1 ( intersection ( river , m0 ) ) ) ) )
how many states have a city called m0	answer ( count ( intersection ( state , loc_1 ( intersection ( city , m0 ) ) ) ) )
how many states have a city named m0	answer ( count ( intersection ( state , loc_1 ( intersection ( city , m0 ) ) ) ) )
how many states have cities named m0	answer ( count ( intersection ( state , loc_1 ( intersection ( city , m0 ) ) ) ) )
how many states have cities or towns named m0	answer ( count ( intersection ( state , loc_1 ( intersection ( city , m0 ) ) ) ) )
how many states have major rivers	answer ( count ( intersection ( state , loc_1 ( intersection ( major , river ) ) ) ) )
how many states in the m0 does the shortest river run through	answer ( count ( intersection ( intersection ( state , loc_2 ( m0 ) ) , traverse_1 ( shortest ( river ) ) ) ) )
in what state is m0	answer ( intersection ( state , loc_1 ( m0 ) ) )
in which state does the highest point in m0 exist	answer ( intersection ( state , loc_1 ( highest ( intersection ( place , loc_2 ( m0 ) ) ) ) ) )
in which state is m0	answer ( intersection ( state , loc_1 ( m0 ) ) )
list the states	answer ( state )
name all the lakes of m0	answer ( intersection ( lake , loc_2 ( m0 ) ) )
name all the rivers in m0	answer ( intersection ( river , loc_2 ( m0 ) ) )
name the 50 capitals in the m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
name the longest river in m0	answer ( longest ( intersection ( river , loc_2 ( m0 ) ) ) )
name the major lakes in m0	answer ( intersection ( major , intersection ( lake , loc_2 ( m0 ) ) ) )
name the rivers in m0	answer ( intersection ( river , loc_2 ( m0 ) ) )
name the states which have no surrounding states	answer ( exclude ( state , next_to_2 ( state ) ) )
number of citizens in m0	answer ( population_1 ( m0 ) )
of the states washed by the m0 river which has the lowest point	answer ( intersection ( state , loc_1 ( lowest ( intersection ( place , loc_2 ( intersection ( state , traverse_1 ( intersection ( river , m0 ) ) ) ) ) ) ) ) )
people in m0	answer ( population_1 ( m0 ) )
population of m0	answer ( population_1 ( m0 ) )
m0 is the capital of which state	answer ( intersection ( state , loc_1 ( intersection ( capital , m0 ) ) ) )
show major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
show me all the major lakes in the m0	answer ( intersection ( major , intersection ( lake , loc_2 ( m0 ) ) ) )
state the state with the largest area	answer ( largest_one ( area_1 , state ) )
states bordering m0	answer ( intersection ( state , next_to_2 ( m0 ) ) )
through which states does the m0 flow	answer ( intersection ( state , traverse_1 ( m0 ) ) )
through which states does the m0 run	answer ( intersection ( state , traverse_1 ( m0 ) ) )
what are major rivers in m0	answer ( intersection ( major , intersection ( river , loc_2 ( m0 ) ) ) )
what are the biggest rivers in m0	answer ( longest ( intersection ( river , loc_2 ( m0 ) ) ) )
what are the capital cities of the states which border m0	answer ( intersection ( capital , intersection ( city , loc_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) ) )
what are the capitals of the states that border m0	answer ( intersection ( capital , loc_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) )
what are the cities in m0	answer ( intersection ( city , loc_2 ( m0 ) ) )
what are the highest points of states surrounding m0	answer ( highest ( intersection ( place , loc_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) ) )
what are the lakes in states bordering m0	answer ( intersection ( lake , loc_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) )
what are the largest cities in the states that border the largest state	answer ( largest ( intersection ( city , loc_2 ( intersection ( state , next_to_2 ( largest ( state ) ) ) ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities in the largest state	answer ( intersection ( major , intersection ( city , loc_2 ( largest ( state ) ) ) ) )
what are the major cities in the smallest state in the m0	answer ( intersection ( major , intersection ( city , loc_2 ( smallest ( intersection ( state , loc_2 ( m0 ) ) ) ) ) ) )
what are the major cities in the states through which the major river in m0 runs	answer ( intersection ( major , intersection ( city , loc_2 ( intersection ( state , traverse_1 ( intersection ( major , intersection ( river , loc_2 ( m0 ) ) ) ) ) ) ) ) )
what are the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities of m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities of the m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major cities of the m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the major lakes in m0	answer ( intersection ( major , intersection ( lake , loc_2 ( m0 ) ) ) )
what are the major rivers in the m0	answer ( intersection ( major , intersection ( river , loc_2 ( m0 ) ) ) )
what are the names of the major cities in m0	answer ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) )
what are the neighboring states for m0	answer ( intersection ( state , next_to_2 ( m0 ) ) )
what are the populations of all the major cities in m0	answer ( population_1 ( intersection ( major , intersection ( city , loc_2 ( m0 ) ) ) ) )
what are the populations of states through which the m0 river runs	answer ( population_1 ( intersection ( state , traverse_1 ( intersection ( river , m0 ) ) ) ) )
what are the populations of states through which the m0 runs	answer ( population_1 ( intersection ( state , traverse_1 ( m0 ) ) ) )
what are the populations of the states through which the m0 river runs	answer ( population_1 ( intersection ( state , traverse_1 ( intersection ( river , m0 ) ) ) ) )
what are the populations of the states through which the m0 river runs	answer ( population_1 ( intersection ( state , traverse_1 ( intersection ( river , m0 ) ) ) ) )
what are the populations of the states through which the m0 runs	answer ( population_1 ( intersection ( state , traverse_1 ( m0 ) ) ) )
what are the populations of the states through which the m0 runs	answer ( population_1 ( intersection ( state , traverse_1 ( m0 ) ) ) )
what are the rivers in the state of m0	answer ( intersection ( river , loc_2 ( intersection ( state , m0 ) ) ) )
what are the rivers in the state of m0	answer ( intersection ( river , loc_2 ( intersection ( state , m0 ) ) ) )
what are the rivers of m0	answer ( intersection ( river , loc_2 ( m0 ) ) )
what are the states	answer ( state )
what are the states that border the state with the greatest population	answer ( intersection ( state , next_to_2 ( largest_one ( population_1 , state ) ) ) )
what are the states that the m0 runs through	answer ( intersection ( state , traverse_1 ( m0 ) ) )
what are the states through which the longest river runs	answer ( intersection ( state , traverse_1 ( longest ( river ) ) ) )
what can you tell me about the population of m0	answer ( population_1 ( m0 ) )
what capital has the largest population	answer ( largest_one ( population_1 , capital ) )
what capital is the largest in the m0	answer ( largest ( intersection ( capital , loc_2 ( m0 ) ) ) )
what cities are located in m0	answer ( intersection ( city , loc_2 ( m0 ) ) )
what cities in m0	answer ( intersection ( city , loc_2 ( m0 ) ) )
what cities in m0 have the highest number of citizens	answer ( largest_one ( population_1 , intersection ( city , loc_2 ( m0 ) ) ) )
what cities in m0 have the highest populations	answer ( largest_one ( population_1 , intersection ( city , loc_2 ( m0 ) ) ) )
what city has the largest population	answer ( largest_one ( population_1 , city ) )
what city has the least population	answer ( smallest_one ( population_1 , city ) )
what is capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is largest capital	answer ( largest ( capital ) )
what is the adjacent state of m0	answer ( intersection ( state , next_to_2 ( m0 ) ) )
what is the area of m0	answer ( area_1 ( m0 ) )
what is the area of all the states combined	answer ( sum ( area_1 ( state ) ) )
what is the area of m0	answer ( area_1 ( m0 ) )
what is the area of m0	answer ( area_1 ( m0 ) )
what is the area of m0	answer ( area_1 ( m0 ) )
what is the area of m0 in square kilometers	answer ( area_1 ( m0 ) )
what is the area of m0	answer ( area_1 ( m0 ) )
what is the area of m0	answer ( area_1 ( m0 ) )
what is the area of m0	answer ( area_1 ( m0 ) )
what is the area of m0	answer ( area_1 ( m0 ) )
what is the area of the largest state	answer ( area_1 ( largest ( state ) ) )
what is the area of the smallest state	answer ( area_1 ( smallest ( state ) ) )
what is the area of the state with the capital m0	answer ( area_1 ( intersection ( state , loc_1 ( intersection ( capital , m0 ) ) ) ) )
what is the area of the state with the smallest population density	answer ( area_1 ( smallest_one ( density_1 , state ) ) )
what is the area of the states	answer ( area_1 ( state ) )
what is the average population of the m0 by state	answer ( density_1 ( m0 ) )
what is the average population per square km in m0	answer ( density_1 ( m0 ) )
what is the average population per square km in the m0	answer ( density_1 ( m0 ) )
what is the biggest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest city in the smallest state	answer ( largest ( intersection ( city , loc_2 ( smallest ( state ) ) ) ) )
what is the biggest city in the m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest city in the m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the biggest river in m0	answer ( longest ( intersection ( river , loc_2 ( m0 ) ) ) )
what is the biggest state	answer ( largest ( state ) )
what is the biggest state in m0	answer ( largest ( intersection ( state , loc_2 ( m0 ) ) ) )
what is the biggest state in the m0	answer ( largest ( intersection ( state , loc_2 ( m0 ) ) ) )
what is the capital city of the largest state in the m0	answer ( intersection ( capital , intersection ( city , loc_2 ( largest ( intersection ( state , loc_2 ( m0 ) ) ) ) ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of the m0 state	answer ( intersection ( capital , loc_2 ( intersection ( state , m0 ) ) ) )
what is the capital of the largest state	answer ( intersection ( capital , loc_2 ( largest ( state ) ) ) )
what is the capital of the state m0	answer ( intersection ( capital , loc_2 ( intersection ( state , m0 ) ) ) )
what is the capital of the state that borders the most states	answer ( intersection ( capital , loc_2 ( most ( state , next_to_2 , state ) ) ) )
what is the capital of the state that borders the state that borders m0	answer ( intersection ( capital , loc_2 ( intersection ( state , next_to_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) ) ) )
what is the capital of the state with the highest elevation	answer ( intersection ( capital , loc_2 ( intersection ( state , loc_1 ( highest ( place ) ) ) ) ) )
what is the capital of the state with the highest point	answer ( intersection ( capital , loc_2 ( intersection ( state , loc_1 ( highest ( place ) ) ) ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the capital of m0	answer ( intersection ( capital , loc_2 ( m0 ) ) )
what is the city in m0 with the largest population	answer ( largest_one ( population_1 , intersection ( city , loc_2 ( m0 ) ) ) )
what is the city with the smallest population	answer ( smallest_one ( population_1 , city ) )
what is the combined population of all 50 states	answer ( sum ( population_1 ( state ) ) )
what is the density of m0	answer ( density_1 ( m0 ) )
what is the elevation of m0	answer ( elevation_1 ( m0 ) )
what is the elevation of the highest point in the m0	answer ( elevation_1 ( highest ( intersection ( place , loc_2 ( m0 ) ) ) ) )
what is the height of m0	answer ( elevation_1 ( m0 ) )
what is the height of the highest mountain in m0	answer ( elevation_1 ( highest ( intersection ( mountain , loc_2 ( m0 ) ) ) ) )
what is the height of the highest point in the m0	answer ( elevation_1 ( highest ( intersection ( place , loc_2 ( m0 ) ) ) ) )
what is the highest elevation in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest elevation in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest mountain in m0	answer ( highest ( intersection ( mountain , loc_2 ( m0 ) ) ) )
what is the highest mountain in m0	answer ( highest ( intersection ( mountain , loc_2 ( m0 ) ) ) )
what is the highest point in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in each state whose lowest point is sea level	answer ( highest ( intersection ( place , loc_2 ( intersection ( state , loc_1 ( intersection ( place , elevation_2 ( 0 ) ) ) ) ) ) ) )
what is the highest point in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in the m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in the smallest state	answer ( highest ( intersection ( place , loc_2 ( smallest ( state ) ) ) ) )
what is the highest point in the state with capital m0	answer ( highest ( intersection ( place , loc_2 ( intersection ( state , loc_1 ( intersection ( capital , m0 ) ) ) ) ) ) )
what is the highest point in the state with the capital m0	answer ( highest ( intersection ( place , loc_2 ( intersection ( state , loc_1 ( intersection ( capital , m0 ) ) ) ) ) ) )
what is the highest point in the state with the most rivers	answer ( highest ( intersection ( place , loc_2 ( most ( state , traverse_1 , river ) ) ) ) )
what is the highest point in the state with the smallest population	answer ( highest ( intersection ( place , loc_2 ( smallest_one ( population_1 , state ) ) ) ) )
what is the highest point in the m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in the m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point in m0	answer ( highest ( intersection ( place , loc_2 ( m0 ) ) ) )
what is the highest point of the state with the largest area	answer ( highest ( intersection ( place , loc_2 ( largest_one ( area_1 , state ) ) ) ) )
what is the largest capital	answer ( largest ( capital ) )
what is the largest city in a state that borders m0	answer ( largest ( intersection ( city , loc_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) ) )
what is the largest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the largest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the largest city in m0 by population	answer ( largest_one ( population_1 , intersection ( city , loc_2 ( m0 ) ) ) )
what is the largest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the largest city in states that border m0	answer ( largest ( intersection ( city , loc_2 ( intersection ( state , next_to_2 ( m0 ) ) ) ) ) )
what is the largest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the largest city in m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the largest city of m0	answer ( largest ( intersection ( city , loc_2 ( m0 ) ) ) )
what is the largest of the states that the m0 runs through	answer ( largest ( intersection ( state , traverse_1 ( m0 ) ) ) )
what is the largest state	answer ( largest ( state ) )
what is the largest state bordering m0	answer ( largest ( intersection ( state , next_to_2 ( m0 ) ) ) )
what is the largest state capital in population	answer ( largest_one ( population_1 , capital_1 ( state ) ) )
what is the largest state in the m0	answer ( largest ( intersection ( state , loc_2 ( m0 ) ) ) )
what is the largest state in m0	answer ( largest ( intersection ( state , loc_2 ( m0 ) ) ) )
